CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
1,40,50,0,0,0,0,0,0,0,3390,0
2,52,75,10,10,0,0,0,0,71,711,10
3,45,70,30,0,0,0,0,30,20,660,30
4,62,69,10,0,0,0,0,10,927,1567,10
5,60,66,10,0,0,0,10,0,1021,1661,10
6,42,65,10,10,0,0,0,0,15,655,10
7,16,42,20,0,20,0,0,0,257,897,20
8,58,70,20,20,0,0,0,0,833,1473,20
9,34,60,20,0,0,0,0,20,2647,3287,20
10,28,70,10,0,0,10,0,0,2361,3001,10
11,35,66,10,0,0,0,10,0,2551,3191,10
12,35,69,10,0,10,0,0,0,2458,3098,10
13,25,85,20,0,0,0,20,0,1879,2519,20
14,22,75,30,30,0,0,0,0,2165,2805,30
15,22,85,10,0,0,0,10,0,1786,2426,10
16,20,80,40,0,40,0,0,0,1976,2616,40
17,20,85,40,0,0,0,0,40,1694,2334,40
18,18,75,20,20,0,0,0,0,2071,2711,20
19,15,75,20,0,0,20,0,0,1502,2142,20
20,15,80,10,10,0,0,0,0,1597,2237,10
21,30,50,10,0,0,0,10,0,10,650,10
22,30,56,20,0,20,0,0,0,2648,3288,20
23,28,52,20,0,0,20,0,0,12,652,20
24,14,66,10,0,0,0,10,0,1403,2043,10
25,25,50,10,0,10,0,0,0,15,655,10
26,22,66,40,40,0,0,0,0,2264,2904,40
27,8,62,10,10,0,0,0,0,1305,1945,10
28,23,52,10,0,10,0,0,0,17,657,10
29,4,55,20,0,0,20,0,0,1207,1847,20
30,20,50,10,0,10,0,0,0,158,798,10
31,20,55,10,0,0,0,0,10,63,703,10
32,10,35,20,0,0,0,20,0,541,1181,20
33,10,40,30,0,30,0,0,0,353,993,30
34,8,40,40,0,40,0,0,0,445,1085,40
35,8,45,20,0,0,20,0,0,1106,1746,20
36,5,35,10,0,10,0,0,0,636,1276,10
37,5,45,10,0,10,0,0,0,1013,1653,10
38,2,40,20,20,0,0,0,0,731,1371,20
39,0,40,30,0,0,0,30,0,823,1463,30
40,0,45,20,20,0,0,0,0,918,1558,20
41,36,18,10,0,0,0,10,0,1579,2219,10
42,35,32,10,10,0,0,0,0,2518,3158,10
43,33,32,20,0,20,0,0,0,2426,3066,20
44,33,35,10,0,0,10,0,0,2333,2973,10
45,32,20,10,0,0,0,0,10,1673,2313,10
46,30,30,10,0,10,0,0,0,1865,2505,10
47,34,25,30,0,0,0,0,30,1769,2409,30
48,30,35,10,0,0,10,0,0,2240,2880,10
49,36,40,10,0,0,0,0,10,2616,3256,10
50,48,20,10,0,0,0,10,0,727,1367,10
51,26,32,10,0,0,0,10,0,2052,2692,10
52,25,30,10,0,10,0,0,0,1960,2600,10
53,25,35,10,0,10,0,0,0,2145,2785,10
54,44,5,20,0,20,0,0,0,1016,1656,20
55,42,10,40,0,40,0,0,0,920,1560,40
56,42,15,10,0,10,0,0,0,825,1465,10
57,40,5,30,0,0,30,0,0,1110,1750,30
58,38,15,40,0,0,0,40,0,1485,2125,40
59,38,5,30,0,0,30,0,0,1202,1842,30
60,38,10,10,0,0,0,10,0,1390,2030,10
61,35,5,20,0,20,0,0,0,1295,1935,20
62,50,30,10,0,0,0,0,10,161,801,10
63,50,35,20,0,20,0,0,0,18,658,20
64,50,40,50,0,0,0,0,50,14,654,50
65,48,30,10,10,0,0,0,0,253,893,10
66,44,25,10,0,0,10,0,0,631,1271,10
67,47,35,10,0,0,0,10,0,348,988,10
68,47,40,10,0,0,0,0,10,12,652,10
69,42,30,10,0,0,10,0,0,536,1176,10
70,45,35,10,0,10,0,0,0,440,1080,10
71,95,30,30,0,0,30,0,0,2081,2721,30
72,95,35,20,0,20,0,0,0,1986,2626,20
73,53,30,10,10,0,0,0,0,68,708,10
74,92,30,10,0,0,0,10,0,2174,2814,10
75,53,35,50,0,0,0,0,50,19,659,50
76,45,65,20,0,0,20,0,0,15,655,20
77,90,35,10,0,0,10,0,0,1891,2531,10
78,72,45,10,0,0,0,10,0,2627,3267,10
79,78,40,20,0,20,0,0,0,2562,3202,20
80,87,30,10,0,0,0,0,10,2368,3008,10
81,85,25,10,0,0,0,10,0,2273,2913,10
82,85,35,30,0,0,30,0,0,2463,3103,30
83,75,55,20,0,0,0,20,0,1685,2325,20
84,72,55,10,0,0,0,10,0,1592,2232,10
85,70,58,20,0,20,0,0,0,1401,2041,20
86,86,46,30,0,30,0,0,0,1789,2429,30
87,66,55,10,0,0,0,0,10,1496,2136,10
88,64,46,20,0,20,0,0,0,2635,3275,20
89,65,60,30,0,0,30,0,0,1306,1946,30
90,56,64,10,0,0,10,0,0,1115,1755,10
91,60,55,10,0,0,0,0,10,2639,3279,10
92,60,60,10,0,0,0,10,0,1211,1851,10
93,67,85,20,20,0,0,0,0,454,1094,20
94,42,58,40,40,0,0,0,0,8,648,40
95,65,82,10,0,0,0,0,10,548,1188,10
96,62,80,30,0,0,0,30,0,641,1281,30
97,62,40,10,0,10,0,0,0,2635,3275,10
98,60,85,30,0,0,0,30,0,357,997,30
99,58,75,20,0,0,0,0,20,738,1378,20
100,55,80,10,0,0,0,0,10,167,807,10
101,55,85,20,0,0,0,20,0,262,902,20
