,CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
0,1,40,50,0,0,0,0,0,0,0,1236,0
1,2,45,68,10,10,0,0,0,0,760,1120,10
2,3,45,70,30,0,0,0,0,30,668,1028,30
3,4,42,66,10,0,0,0,0,10,16,376,10
4,5,42,68,10,0,0,0,10,0,575,935,10
5,6,42,65,10,10,0,0,0,0,15,375,10
6,7,40,69,20,0,20,0,0,0,482,842,20
7,8,40,66,20,20,0,0,0,0,18,378,20
8,9,38,68,20,0,0,0,0,20,110,470,20
9,10,38,70,10,0,0,10,0,0,390,750,10
10,11,35,66,10,0,0,0,10,0,204,564,10
11,12,35,69,10,0,10,0,0,0,297,657,10
12,13,25,85,20,0,0,0,20,0,507,867,20
13,14,22,75,30,30,0,0,0,0,30,390,30
14,15,22,85,10,0,0,0,10,0,414,774,10
15,16,20,80,40,0,40,0,0,0,227,587,40
16,17,20,85,40,0,0,0,0,40,322,682,40
17,18,18,75,20,20,0,0,0,0,33,393,20
18,19,15,75,20,0,0,20,0,0,37,397,20
19,20,15,80,10,10,0,0,0,0,132,492,10
20,21,30,50,10,0,0,0,10,0,10,370,10
21,22,30,52,20,0,20,0,0,0,760,1120,20
22,23,28,52,20,0,0,20,0,0,668,1028,20
23,24,28,55,10,0,0,0,10,0,575,935,10
24,25,25,50,10,0,10,0,0,0,15,375,10
25,26,25,52,40,40,0,0,0,0,17,377,40
26,27,25,55,10,10,0,0,0,0,482,842,10
27,28,23,52,10,0,10,0,0,0,109,469,10
28,29,23,55,20,0,0,20,0,0,390,750,20
29,30,20,50,10,0,10,0,0,0,202,562,10
30,31,20,55,10,0,0,0,0,10,297,657,10
31,32,10,35,20,0,0,0,20,0,39,399,20
32,33,10,40,30,0,30,0,0,0,31,391,30
33,34,8,40,40,0,40,0,0,0,33,393,40
34,35,8,45,20,0,0,20,0,0,604,964,20
35,36,5,35,10,0,10,0,0,0,134,494,10
36,37,5,45,10,0,10,0,0,0,511,871,10
37,38,2,40,20,20,0,0,0,0,229,589,20
38,39,0,40,30,0,0,0,30,0,321,681,30
39,40,0,45,20,20,0,0,0,0,416,776,20
40,41,35,30,10,0,0,0,10,0,113,473,10
41,42,35,32,10,10,0,0,0,0,21,381,10
42,43,33,32,20,0,20,0,0,0,19,379,20
43,44,33,35,10,0,0,10,0,0,16,376,10
44,45,32,30,10,0,0,0,0,10,206,566,10
45,46,30,30,10,0,10,0,0,0,391,751,10
46,47,30,32,30,0,0,0,0,30,299,659,30
47,48,30,35,10,0,0,10,0,0,767,1127,10
48,49,28,30,10,0,0,0,0,10,483,843,10
49,50,28,35,10,0,0,0,10,0,766,1126,10
50,51,26,32,10,0,0,0,10,0,668,1028,10
51,52,25,30,10,0,10,0,0,0,576,936,10
52,53,25,35,10,0,10,0,0,0,761,1121,10
53,54,44,5,20,0,20,0,0,0,137,497,20
54,55,42,10,40,0,40,0,0,0,42,402,40
55,56,42,15,10,0,10,0,0,0,35,395,10
56,57,40,5,30,0,0,30,0,0,231,591,30
57,58,40,15,40,0,0,0,40,0,35,395,40
58,59,38,5,30,0,0,30,0,0,323,683,30
59,60,38,15,10,0,0,0,10,0,516,876,10
60,61,35,5,20,0,20,0,0,0,416,776,20
61,62,50,30,10,0,0,0,0,10,391,751,10
62,63,50,35,20,0,20,0,0,0,110,470,20
63,64,50,40,50,0,0,0,0,50,15,375,50
64,65,48,30,10,10,0,0,0,0,483,843,10
65,66,48,40,10,0,0,10,0,0,12,372,10
66,67,47,35,10,0,0,0,10,0,671,1031,10
67,68,47,40,10,0,0,0,0,10,12,372,10
68,69,45,30,10,0,0,10,0,0,576,936,10
69,70,45,35,10,0,10,0,0,0,763,1123,10
70,71,95,30,30,0,0,30,0,0,242,602,30
71,72,95,35,20,0,20,0,0,0,147,507,20
72,73,53,30,10,10,0,0,0,0,298,658,10
73,74,92,30,10,0,0,0,10,0,335,695,10
74,75,53,35,50,0,0,0,0,50,203,563,50
75,76,45,65,20,0,0,20,0,0,770,1130,20
76,77,90,35,10,0,0,10,0,0,52,412,10
77,78,88,30,10,0,0,0,10,0,429,789,10
78,79,88,35,20,0,20,0,0,0,50,410,20
79,80,87,30,10,0,0,0,0,10,520,880,10
80,81,85,25,10,0,0,0,10,0,615,975,10
81,82,85,35,30,0,0,30,0,0,47,407,30
82,83,75,55,20,0,0,0,20,0,215,575,20
83,84,72,55,10,0,0,0,10,0,122,482,10
84,85,70,58,20,0,20,0,0,0,311,671,20
85,86,68,60,30,0,30,0,0,0,404,764,30
86,87,66,55,10,0,0,0,0,10,26,386,10
87,88,65,55,20,0,20,0,0,0,25,385,20
88,89,65,60,30,0,0,30,0,0,497,857,30
89,90,63,58,10,0,0,10,0,0,590,950,10
90,91,60,55,10,0,0,0,0,10,20,380,10
91,92,60,60,10,0,0,0,10,0,683,1043,10
92,93,67,85,20,20,0,0,0,0,225,585,20
93,94,65,85,40,40,0,0,0,0,317,677,40
94,95,65,82,10,0,0,0,0,10,131,491,10
95,96,62,80,30,0,0,0,30,0,38,398,30
96,97,60,80,10,0,10,0,0,0,36,396,10
97,98,60,85,30,0,0,0,30,0,412,772,30
98,99,58,75,20,0,0,0,0,20,30,390,20
99,100,55,80,10,0,0,0,0,10,602,962,10
100,101,55,85,20,0,0,0,20,0,507,867,20
