,CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
0,1,40,50,0,0,0,0,0,0,0,1236,0
1,2,45,68,10,10,0,0,0,0,890,989,10
2,3,45,70,30,0,0,0,0,30,816,879,30
3,4,42,66,10,0,0,0,0,10,55,156,10
4,5,42,68,10,0,0,0,10,0,703,806,10
5,6,42,65,10,10,0,0,0,0,15,60,10
6,7,40,69,20,0,20,0,0,0,559,764,20
7,8,40,66,20,20,0,0,0,0,172,223,20
8,9,38,68,20,0,0,0,0,20,250,329,20
9,10,38,70,10,0,0,10,0,0,489,650,10
10,11,35,66,10,0,0,0,10,0,361,406,10
11,12,35,69,10,0,10,0,0,0,450,503,10
12,13,25,85,20,0,0,0,20,0,647,726,20
13,14,22,75,30,30,0,0,0,0,30,95,30
14,15,22,85,10,0,0,0,10,0,571,616,10
15,16,20,80,40,0,40,0,0,0,392,421,40
16,17,20,85,40,0,0,0,0,40,478,525,40
17,18,18,75,20,20,0,0,0,0,105,142,20
18,19,15,75,20,0,0,20,0,0,172,261,20
19,20,15,80,10,10,0,0,0,0,274,349,10
20,21,30,50,10,0,0,0,10,0,10,77,10
21,22,30,52,20,0,20,0,0,0,918,961,20
22,23,28,52,20,0,0,20,0,0,806,889,20
23,24,28,55,10,0,0,0,10,0,739,770,10
24,25,25,50,10,0,10,0,0,0,55,154,10
25,26,25,52,40,40,0,0,0,0,172,221,40
26,27,25,55,10,10,0,0,0,0,612,711,10
27,28,23,52,10,0,10,0,0,0,264,313,10
28,29,23,55,20,0,0,20,0,0,553,586,20
29,30,20,50,10,0,10,0,0,0,365,398,10
30,31,20,55,10,0,0,0,0,10,452,501,10
31,32,10,35,20,0,0,0,20,0,204,233,20
32,33,10,40,30,0,30,0,0,0,31,189,30
33,34,8,40,40,0,40,0,0,0,42,203,40
34,35,8,45,20,0,0,20,0,0,715,852,20
35,36,5,35,10,0,10,0,0,0,251,376,10
36,37,5,45,10,0,10,0,0,0,648,733,10
37,38,2,40,20,20,0,0,0,0,365,452,20
38,39,0,40,30,0,0,0,30,0,474,527,30
39,40,0,45,20,20,0,0,0,0,541,650,20
40,41,35,30,10,0,0,0,10,0,240,345,10
41,42,35,32,10,10,0,0,0,0,123,278,10
42,43,33,32,20,0,20,0,0,0,19,225,20
43,44,33,35,10,0,0,10,0,0,16,153,10
44,45,32,30,10,0,0,0,0,10,338,433,10
45,46,30,30,10,0,10,0,0,0,513,628,10
46,47,30,32,30,0,0,0,0,30,415,542,30
47,48,30,35,10,0,0,10,0,0,872,1127,10
48,49,28,30,10,0,0,0,0,10,599,726,10
49,50,28,35,10,0,0,0,10,0,917,1126,10
50,51,26,32,10,0,0,0,10,0,779,916,10
51,52,25,30,10,0,10,0,0,0,695,816,10
52,53,25,35,10,0,10,0,0,0,857,1024,10
53,54,44,5,20,0,20,0,0,0,221,412,20
54,55,42,10,40,0,40,0,0,0,96,347,40
55,56,42,15,10,0,10,0,0,0,35,233,10
56,57,40,5,30,0,0,30,0,0,347,474,30
57,58,40,15,40,0,0,0,40,0,35,172,40
58,59,38,5,30,0,0,30,0,0,403,602,30
59,60,38,15,10,0,0,0,10,0,521,870,10
60,61,35,5,20,0,20,0,0,0,487,704,20
61,62,50,30,10,0,0,0,0,10,422,719,10
62,63,50,35,20,0,20,0,0,0,217,362,20
63,64,50,40,50,0,0,0,0,50,142,247,50
64,65,48,30,10,10,0,0,0,0,567,758,10
65,66,48,40,10,0,0,10,0,0,34,171,10
66,67,47,35,10,0,0,0,10,0,794,907,10
67,68,47,40,10,0,0,0,0,10,12,226,10
68,69,45,30,10,0,0,10,0,0,716,795,10
69,70,45,35,10,0,10,0,0,0,873,1012,10
70,71,95,30,30,0,0,30,0,0,266,577,30
71,72,95,35,20,0,20,0,0,0,181,472,20
72,73,53,30,10,10,0,0,0,0,402,553,10
73,74,92,30,10,0,0,0,10,0,345,684,10
74,75,53,35,50,0,0,0,0,50,294,471,50
75,76,45,65,20,0,0,20,0,0,951,1114,20
76,77,90,35,10,0,0,10,0,0,153,310,10
77,78,88,30,10,0,0,0,10,0,450,767,10
78,79,88,35,20,0,20,0,0,0,50,237,20
79,80,87,30,10,0,0,0,0,10,567,832,10
80,81,85,25,10,0,0,0,10,0,713,876,10
81,82,85,35,30,0,0,30,0,0,47,331,30
82,83,75,55,20,0,0,0,20,0,311,478,20
83,84,72,55,10,0,0,0,10,0,127,476,10
84,85,70,58,20,0,20,0,0,0,349,632,20
85,86,68,60,30,0,30,0,0,0,476,691,30
86,87,66,55,10,0,0,0,0,10,67,344,10
87,88,65,55,20,0,20,0,0,0,25,256,20
88,89,65,60,30,0,0,30,0,0,546,807,30
89,90,63,58,10,0,0,10,0,0,630,909,10
90,91,60,55,10,0,0,0,0,10,20,293,10
91,92,60,60,10,0,0,0,10,0,769,956,10
92,93,67,85,20,20,0,0,0,0,229,580,20
93,94,65,85,40,40,0,0,0,0,442,551,40
94,95,65,82,10,0,0,0,0,10,227,394,10
95,96,62,80,30,0,0,0,30,0,163,272,30
96,97,60,80,10,0,10,0,0,0,36,291,10
97,98,60,85,30,0,0,0,30,0,469,714,30
98,99,58,75,20,0,0,0,0,20,30,227,20
99,100,55,80,10,0,0,0,0,10,595,968,10
100,101,55,85,20,0,0,0,20,0,493,880,20
