,CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
0,1,40,50,0,0,0,0,0,0,0,960,0
1,2,25,85,20,20,0,0,0,0,613,853,20
2,3,22,75,30,0,0,0,0,30,92,332,30
3,4,22,85,10,0,0,0,0,10,411,651,10
4,5,20,80,40,0,0,0,40,0,584,824,40
5,6,20,85,20,20,0,0,0,0,40,280,20
6,7,18,75,20,0,20,0,0,0,328,568,20
7,8,15,75,20,20,0,0,0,0,240,480,20
8,9,15,80,10,0,0,0,0,10,307,547,10
9,10,10,35,20,0,0,20,0,0,311,551,20
10,11,10,40,30,0,0,0,30,0,459,699,30
11,12,8,40,40,0,40,0,0,0,135,375,40
12,13,8,45,20,0,0,0,20,0,163,403,20
13,14,5,35,10,10,0,0,0,0,593,833,10
14,15,5,45,10,0,0,0,10,0,35,275,10
15,16,2,40,20,0,20,0,0,0,114,354,20
16,17,0,40,20,0,0,0,0,20,195,435,20
17,18,0,45,20,20,0,0,0,0,643,883,20
18,19,44,5,20,0,0,20,0,0,275,515,20
19,20,42,10,40,40,0,0,0,0,194,434,40
20,21,42,15,10,0,0,0,10,0,477,717,10
21,22,40,5,10,0,10,0,0,0,155,395,10
22,23,40,15,40,0,0,40,0,0,315,555,40
23,24,38,5,30,0,0,0,30,0,141,381,30
24,25,38,15,10,0,10,0,0,0,621,861,10
25,26,35,5,20,20,0,0,0,0,664,904,20
26,27,95,30,30,30,0,0,0,0,469,709,30
27,28,95,35,20,0,20,0,0,0,86,326,20
28,29,92,30,10,0,0,10,0,0,89,329,10
29,30,90,35,10,0,10,0,0,0,134,374,10
30,31,88,30,10,0,0,0,0,10,186,426,10
31,32,88,35,20,0,0,0,20,0,105,345,20
32,33,87,30,10,0,10,0,0,0,561,801,10
33,34,85,25,10,0,10,0,0,0,51,291,10
34,35,85,35,30,0,0,30,0,0,427,667,30
35,36,67,85,20,0,20,0,0,0,597,837,20
36,37,65,85,40,0,40,0,0,0,43,283,40
37,38,65,82,10,10,0,0,0,0,497,737,10
38,39,62,80,30,0,0,0,30,0,218,458,30
39,40,60,80,10,10,0,0,0,0,36,276,10
40,41,60,85,30,0,0,0,30,0,269,509,30
41,42,58,75,20,20,0,0,0,0,316,556,20
42,43,55,80,10,0,10,0,0,0,33,273,10
43,44,55,85,20,0,0,20,0,0,514,754,20
44,45,55,82,10,0,0,0,0,10,157,397,10
45,46,20,82,10,0,10,0,0,0,37,277,10
46,47,18,80,10,0,0,0,0,10,429,669,10
47,48,2,45,10,0,0,10,0,0,45,285,10
48,49,42,5,10,0,0,0,0,10,664,904,10
49,50,42,12,10,0,0,0,10,0,380,620,10
50,51,72,35,30,0,0,0,30,0,447,687,30
51,52,55,20,19,0,19,0,0,0,266,506,19
52,53,25,30,3,0,3,0,0,0,115,355,3
53,54,20,50,5,0,5,0,0,0,315,555,5
54,55,55,60,16,0,16,0,0,0,541,781,16
55,56,30,60,16,0,16,0,0,0,539,779,16
56,57,50,35,19,0,0,19,0,0,497,737,19
57,58,30,25,23,0,0,0,23,0,337,577,23
58,59,15,10,20,0,0,20,0,0,662,902,20
59,60,10,20,19,0,0,0,19,0,42,282,19
60,61,15,60,17,0,17,0,0,0,634,874,17
61,62,45,65,9,0,0,0,0,9,198,438,9
62,63,65,35,3,0,3,0,0,0,107,347,3
63,64,65,20,6,0,0,0,0,6,39,279,6
64,65,45,30,17,17,0,0,0,0,131,371,17
65,66,35,40,16,0,0,16,0,0,11,251,16
66,67,41,37,16,0,0,0,16,0,506,746,16
67,68,64,42,9,0,0,0,0,9,208,448,9
68,69,40,60,21,0,0,21,0,0,552,792,21
69,70,31,52,27,0,27,0,0,0,97,337,27
70,71,35,69,23,0,0,23,0,0,690,930,23
71,72,65,55,14,0,14,0,0,0,181,421,14
72,73,63,65,8,8,0,0,0,0,27,267,8
73,74,2,60,5,0,0,0,5,0,226,466,5
74,75,20,20,8,0,0,0,0,8,585,825,8
75,76,5,5,16,0,0,16,0,0,172,412,16
76,77,60,12,31,0,0,31,0,0,208,448,31
77,78,23,3,7,0,0,0,7,0,660,900,7
78,79,8,56,27,0,27,0,0,0,305,545,27
79,80,6,68,30,0,0,0,0,30,292,532,30
80,81,47,47,13,0,0,0,13,0,702,942,13
81,82,49,58,10,0,0,10,0,0,295,535,10
82,83,27,43,9,0,0,0,9,0,92,332,9
83,84,37,31,14,0,0,0,14,0,45,285,14
84,85,57,29,18,0,18,0,0,0,335,575,18
85,86,63,23,2,0,2,0,0,0,284,524,2
86,87,21,24,28,0,0,0,0,28,289,529,28
87,88,12,24,13,0,13,0,0,0,299,539,13
88,89,24,58,19,0,0,19,0,0,200,440,19
89,90,67,5,25,0,0,25,0,0,653,893,25
90,91,37,47,6,0,0,0,0,6,299,539,6
91,92,49,42,13,0,0,0,13,0,659,899,13
92,93,53,43,14,14,0,0,0,0,14,254,14
93,94,61,52,3,3,0,0,0,0,688,928,3
94,95,57,48,23,0,0,0,0,23,332,572,23
95,96,56,37,6,0,0,0,6,0,40,280,6
96,97,55,54,26,0,26,0,0,0,502,742,26
97,98,4,18,35,0,0,0,35,0,487,727,35
98,99,26,52,9,0,0,0,0,9,112,352,9
99,100,26,35,15,0,0,0,0,15,248,488,15
100,101,31,67,3,0,0,0,3,0,690,930,3
