,CUST NO.,XCOORD,YCOORD,DEMAND,DEMAND1,DEMAND2,DEMAND3,DEMAND4,DEMAND5,READY TIME,DUE DATE,SERVICE TIME
0,1,40,50,0,0,0,0,0,0,0,1236,0
1,2,45,68,10,10,0,0,0,0,885,994,10
2,3,45,70,30,0,0,0,0,30,802,893,30
3,4,42,66,10,0,0,0,0,10,25,186,10
4,5,42,68,10,0,0,0,10,0,699,810,10
5,6,42,65,10,10,0,0,0,0,15,120,10
6,7,40,69,20,0,20,0,0,0,580,743,20
7,8,40,66,20,20,0,0,0,0,142,253,20
8,9,38,68,20,0,0,0,0,20,220,359,20
9,10,38,70,10,0,0,10,0,0,499,640,10
10,11,35,66,10,0,0,0,10,0,331,436,10
11,12,35,69,10,0,10,0,0,0,420,533,10
12,13,25,85,20,0,0,0,20,0,617,756,20
13,14,22,75,30,30,0,0,0,0,30,155,30
14,15,22,85,10,0,0,0,10,0,541,646,10
15,16,20,80,40,0,40,0,0,0,362,451,40
16,17,20,85,40,0,0,0,0,40,448,555,40
17,18,18,75,20,20,0,0,0,0,75,172,20
18,19,15,75,20,0,0,20,0,0,142,291,20
19,20,15,80,10,10,0,0,0,0,244,379,10
20,21,30,50,10,0,0,0,10,0,10,137,10
21,22,30,52,20,0,20,0,0,0,888,991,20
22,23,28,52,20,0,0,20,0,0,776,919,20
23,24,28,55,10,0,0,0,10,0,709,800,10
24,25,25,50,10,0,10,0,0,0,25,184,10
25,26,25,52,40,40,0,0,0,0,142,251,40
26,27,25,55,10,10,0,0,0,0,582,741,10
27,28,23,52,10,0,10,0,0,0,234,343,10
28,29,23,55,20,0,0,20,0,0,523,616,20
29,30,20,50,10,0,10,0,0,0,335,428,10
30,31,20,55,10,0,0,0,0,10,422,531,10
31,32,10,35,20,0,0,0,20,0,181,256,20
32,33,10,40,30,0,30,0,0,0,31,170,30
33,34,8,40,40,0,40,0,0,0,52,193,40
34,35,8,45,20,0,0,20,0,0,719,848,20
35,36,5,35,10,0,10,0,0,0,252,375,10
36,37,5,45,10,0,10,0,0,0,639,742,10
37,38,2,40,20,20,0,0,0,0,357,460,20
38,39,0,40,30,0,0,0,30,0,457,544,30
39,40,0,45,20,20,0,0,0,0,538,653,20
40,41,35,30,10,0,0,0,10,0,236,349,10
41,42,35,32,10,10,0,0,0,0,132,269,10
42,43,33,32,20,0,20,0,0,0,27,190,20
43,44,33,35,10,0,0,10,0,0,16,144,10
44,45,32,30,10,0,0,0,0,10,332,439,10
45,46,30,30,10,0,10,0,0,0,512,629,10
46,47,30,32,30,0,0,0,0,30,417,540,30
47,48,30,35,10,0,0,10,0,0,982,1127,10
48,49,28,30,10,0,0,0,0,10,601,724,10
49,50,28,35,10,0,0,0,10,0,969,1098,10
50,51,26,32,10,0,0,0,10,0,783,912,10
51,52,25,30,10,0,10,0,0,0,695,816,10
52,53,25,35,10,0,10,0,0,0,883,998,10
53,54,44,5,20,0,20,0,0,0,255,378,20
54,55,42,10,40,0,40,0,0,0,150,293,40
55,56,42,15,10,0,10,0,0,0,63,190,10
56,57,40,5,30,0,0,30,0,0,359,462,30
57,58,40,15,40,0,0,0,40,0,35,140,40
58,59,38,5,30,0,0,30,0,0,439,566,30
59,60,38,15,10,0,0,0,10,0,607,784,10
60,61,35,5,20,0,20,0,0,0,529,662,20
61,62,50,30,10,0,0,0,0,10,491,650,10
62,63,50,35,20,0,20,0,0,0,235,344,20
63,64,50,40,50,0,0,0,0,50,147,242,50
64,65,48,30,10,10,0,0,0,0,601,724,10
65,66,48,40,10,0,0,10,0,0,50,155,10
66,67,47,35,10,0,0,0,10,0,802,899,10
67,68,47,40,10,0,0,0,0,10,12,143,10
68,69,45,30,10,0,0,10,0,0,712,799,10
69,70,45,35,10,0,10,0,0,0,889,996,10
70,71,95,30,30,0,0,30,0,0,353,490,30
71,72,95,35,20,0,20,0,0,0,260,393,20
72,73,53,30,10,10,0,0,0,0,422,533,10
73,74,92,30,10,0,0,0,10,0,442,587,10
74,75,53,35,50,0,0,0,0,50,323,442,50
75,76,45,65,20,0,0,20,0,0,962,1103,20
76,77,90,35,10,0,0,10,0,0,175,288,10
77,78,88,30,10,0,0,0,10,0,539,678,10
78,79,88,35,20,0,20,0,0,0,78,201,20
79,80,87,30,10,0,0,0,0,10,636,763,10
80,81,85,25,10,0,0,0,10,0,744,845,10
81,82,85,35,30,0,0,30,0,0,47,201,30
82,83,75,55,20,0,0,0,20,0,344,445,20
83,84,72,55,10,0,0,0,10,0,228,375,10
84,85,70,58,20,0,20,0,0,0,425,556,20
85,86,68,60,30,0,30,0,0,0,527,640,30
86,87,66,55,10,0,0,0,0,10,141,270,10
87,88,65,55,20,0,20,0,0,0,56,173,20
88,89,65,60,30,0,0,30,0,0,614,739,30
89,90,63,58,10,0,0,10,0,0,705,834,10
90,91,60,55,10,0,0,0,0,10,20,148,10
91,92,60,60,10,0,0,0,10,0,809,916,10
92,93,67,85,20,20,0,0,0,0,331,478,20
93,94,65,85,40,40,0,0,0,0,453,540,40
94,95,65,82,10,0,0,0,0,10,260,361,10
95,96,62,80,30,0,0,0,30,0,174,261,30
96,97,60,80,10,0,10,0,0,0,64,187,10
97,98,60,85,30,0,0,0,30,0,531,652,30
98,99,58,75,20,0,0,0,0,20,30,139,20
99,100,55,80,10,0,0,0,0,10,705,858,10
100,101,55,85,20,0,0,0,20,0,608,765,20
